count	reward_sum	squared_reward_sum	length
142	-54.454590562040146	10016.713851500543	277
143	-92.27208076776742	10011.882866398726	225
144	-90.30052610889845	10005.54309015651	262
145	-70.54571300782709	10009.762643744134	345
146	-107.90905800430609	10024.676383062517	657
147	-57.22821884824125	10013.343083609616	319
148	-36.07943227700039	6.974753885852946	2000
149	-109.67529978378089	10003.557658388965	48
150	-74.61030671089975	10008.783836816205	227
151	2.413088941003622	10038.04424857983	457
152	-90.72370037172742	10007.895870135428	259
153	-78.25003783273661	10007.174743363954	160
154	-66.6836465473119	10012.170471096711	350
155	-15.496244839882195	10029.465242037584	475
156	-89.05019456106956	10005.050646791713	243
157	-62.46700860440603	10011.167747740132	306
158	-77.94980165815392	10007.898180471951	162
159	-72.02232506618259	10022.087410423268	389
160	-42.69481564618292	21.528975480580446	2000
161	-60.832048957623726	10014.948144664999	297
162	-89.2996576525979	10006.709365637375	212
163	-45.33937688860658	10019.850270259987	368
164	-98.10911827092326	10010.342296999763	485
165	-34.83186419815521	26.798564188416538	2000
166	-55.232624319847766	10019.201001761683	207
167	-73.9440171019645	10009.66599043338	164
168	-64.9612415753959	31.45812507987308	2000
169	-109.42240465046595	10002.198083792173	56
170	-80.18139635323466	10029.402010159129	1866
171	-101.12591132333817	10016.852975537051	437
172	-92.9740346623839	10007.022544504169	177
173	-95.00107069597665	10008.238334965466	205
174	-74.13185748320714	10009.573306456014	159
175	-56.82369048435314	10017.629871415607	393
176	-82.93260357326567	10008.44735352397	118
177	-80.16360668435495	18.231314176875344	2000
178	-84.05552569584077	10016.553504510628	376
179	-30.138076143131784	10021.023102264962	749
180	-47.96966621478272	11.555252575499372	2000
181	-82.99583163670135	10008.304813308512	99
182	-37.25545212073771	10021.834036508724	381
183	-67.2574053065718	10013.50053667568	201
184	-74.27030336064865	10012.729293205284	155
185	-57.0775479677689	10020.474532597918	214
186	-92.69601116456023	10013.819870020741	216
187	-38.00764554150062	10021.147049662577	338
188	20.170809134109277	10039.351389151663	635
189	-53.94138319172178	10014.821760804585	274
190	-73.03047530154035	10009.130971379527	166
191	-104.3561622599579	10012.288596045606	542
192	-70.7794337931976	10011.810893863032	156
193	-50.428749090729475	10016.332499302272	273
194	-90.50580332018602	10006.87375071515	211
195	49.26137578160018	10053.726577645457	653
196	-77.6296520565029	10009.331647894498	193
197	-66.3523449715425	10013.83864672148	181
198	-41.08641929290993	10024.041757609866	254
199	-48.23845052379831	10021.48616564305	760
